route,methods,primary,state,independent_markers,write,dynamic,db,external,demo,legacy,reexport,off,test,strict
src/app/api/institution/appointments/route.ts,GET|POST|PATCH,write_or_mixed,governance_required,,true,false,false,false,false,false,false,true,false,false
src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,POST,write_or_mixed,governance_required,,true,true,false,false,false,false,false,true,false,false
src/app/api/institution/customers/[customerId]/followup-overview/route.ts,GET,dynamic_object,governance_required,,false,true,false,false,true,false,false,true,false,false
src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,GET,dynamic_object,governance_required,,false,true,false,false,true,false,false,true,false,false
src/app/api/institution/customers/[customerId]/timeline/route.ts,GET,dynamic_object,governance_required,,false,true,false,false,true,false,false,true,false,false
src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts,POST,write_or_mixed,governance_required,,true,true,false,false,false,false,false,true,false,false
src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts,GET|POST,write_or_mixed,governance_required,,true,true,false,true,false,false,false,true,false,false
src/app/api/institution/customers/import/route.ts,POST|PUT,write_or_mixed,governance_required,,true,false,false,false,false,false,false,true,false,false
src/app/api/institution/customers/route.ts,GET|POST|PATCH,write_or_mixed,governance_required,,true,false,false,false,false,false,false,true,false,false
src/app/api/institution/dashboard-stats/route.ts,GET,legacy_retired_compat,governance_required,,false,false,false,false,true,true,false,false,false,false
src/app/api/institution/follow-up-path-analysis/route.ts,GET,legacy_retired_compat,governance_required,,false,false,false,false,false,true,false,false,false,false
src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts,POST,write_or_mixed,governance_required,,true,true,false,false,false,false,false,true,false,false
src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts,POST,write_or_mixed,governance_required,,true,true,false,false,false,false,false,true,false,false
src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts,POST,write_or_mixed,governance_required,,true,true,false,false,false,false,false,true,false,false
src/app/api/institution/followup-message-drafts/[draftId]/route.ts,PATCH,write_or_mixed,governance_required,,true,true,false,false,false,false,false,true,false,false
src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout/route.ts,GET|POST,write_or_mixed,governance_required,,true,true,false,true,false,false,false,true,false,false
src/app/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task/route.ts,GET|POST,write_or_mixed,governance_required,,true,true,false,true,false,false,false,true,false,false
src/app/api/institution/followup-message-drafts/route.ts,GET|POST,write_or_mixed,governance_required,,true,false,false,false,false,false,false,true,false,false
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/cancel/route.ts,POST,write_or_mixed,governance_required,,true,true,false,false,false,false,false,true,false,false
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/route.ts,GET,dynamic_object,governance_required,,false,true,false,false,false,false,false,true,false,false
src/app/api/institution/followup-paths/enrollments/route.ts,GET|POST,write_or_mixed,governance_required,,true,false,false,false,false,false,false,true,false,false
