path,textual_mutation_kinds,direct_mutation_calls,direct_mutation_kinds,direct_table_symbols,historical_scope_class,historical_slice_id,historical_owner,historical_bypass_flags,approved_runtime_path,current_classification,blocker_reason
scripts/db/base02-b5-cross-tenant-transfer-runner.mjs,update,0,,,bypass_surface_review,BYPASS_SEED_MAINTENANCE,Seed / Maintenance / Shared DB,script,false,historical:bypass_surface_review,
scripts/demo/seed-v06-low-sensitive-demo.ts,update,0,,,bypass_surface_review,BYPASS_SEED_MAINTENANCE,Seed / Maintenance / Shared DB,script|seed,false,historical:bypass_surface_review,
scripts/verify/architecture-quality.mjs,delete,0,,,bypass_surface_review,BYPASS_SEED_MAINTENANCE,Seed / Maintenance / Shared DB,raw_sql|script,false,historical:bypass_surface_review,
src/app/api/open-platform/audit-events/route.ts,delete,0,,,later_or_outside_phase,OTHER_REVIEW,Other,none,false,historical:later_or_outside_phase,
src/modules/access-control/server/membership-command-repository.ts,insert+update,6,insert+update,__UNRESOLVED__|authAccountInstitutionBindingTransitions|tenantMembers|tenantMembershipTransitions,excluded_foundation_owner,EXCLUDED_ACCESS_CONTROL,Access Control,none,false,historical:excluded_foundation_owner,
src/modules/analytics/server/ai-call-usage-command-repository.ts,insert,1,insert,aiCallUsageRecords,,,,,true,approved_business_writer_runtime_path,
src/modules/audit/server/audit-event-repository.ts,insert,1,insert,__UNRESOLVED__,later_or_outside_phase,W9_AUDIT_LATER,Audit,none,false,historical:later_or_outside_phase,
src/modules/auth/application/formal-institution-session-context.ts,delete,0,,,excluded_foundation_owner,EXCLUDED_IDENTITY,Identity,none,false,historical:excluded_foundation_owner,
src/modules/auth/server/auth-account-repository.ts,insert+update,5,insert+update,__UNRESOLVED__,excluded_foundation_owner,EXCLUDED_IDENTITY,Identity,none,false,historical:excluded_foundation_owner,
src/modules/auth/server/demo-session.ts,update,0,,,excluded_foundation_owner,EXCLUDED_IDENTITY,Identity,none,false,historical:excluded_foundation_owner,
src/modules/auth/server/formal-server-session-provenance-owner.ts,delete+update,0,,,excluded_foundation_owner,EXCLUDED_IDENTITY,Identity,none,false,historical:excluded_foundation_owner,
src/modules/care/application/appointment-command-service.ts,update,0,,,,,,,true,approved_business_writer_runtime_path,
src/modules/care/application/treatment-summary-command-service.ts,update,0,,,,,,,true,approved_business_writer_runtime_path,
src/modules/care/server/appointment-command-repository.ts,insert+update,2,insert+update,__UNRESOLVED__,,,,,true,approved_business_writer_runtime_path,
src/modules/care/server/follow-up-command-repository.ts,insert+update,8,insert+update,followUpCustomerTimelineEvents|followUpPathEnrollments|followUpPathStages|followUpTasks,,,,,true,approved_business_writer_runtime_path,
src/modules/care/server/follow-up-message-draft-command-repository.ts,insert+update,7,insert+update,followUpCustomerTimelineEvents|followUpMessageDrafts,,,,,true,approved_business_writer_runtime_path,
src/modules/care/server/treatment-summary-command-repository.ts,insert+update,3,insert+update,treatmentSummaries,,,,,true,approved_business_writer_runtime_path,
src/modules/customers/application/customer-command-service.ts,update,0,,,,,,,true,approved_business_writer_runtime_path,
src/modules/customers/server/customer-command-repository.ts,insert+update,2,insert+update,__UNRESOLVED__,,,,,true,approved_business_writer_runtime_path,
src/modules/institution-knowledge/domain/knowledge-content-manifest.ts,update,0,,,business_writer_surface,W3_KNOWLEDGE,Knowledge,none,true,historical:business_writer_surface,
src/modules/institution-system/server/his-connection-command-repository.ts,insert+update,6,insert+update,__UNRESOLVED__,,,,,true,approved_business_writer_runtime_path,
src/modules/institution-system/server/his-connection-credential-compensation-job-queue-repository.ts,insert+update,2,insert+update,__UNRESOLVED__,,,,,true,approved_business_writer_runtime_path,
src/modules/institution-system/server/his-connection-credential-compensation-operation-repository.ts,insert+update,2,insert+update,__UNRESOLVED__,,,,,true,approved_business_writer_runtime_path,
src/modules/institution-workbench/domain/workbench-action-aggregation.ts,delete,0,,,later_or_outside_phase,W10_WORKSPACE_PROJECTION_REVIEW,Workspace Projection,none,false,historical:later_or_outside_phase,
src/modules/institution/domain/wecom-customer-mapping-review-actions.ts,update,0,,,business_writer_surface,W1_CUSTOMERS_MESSAGING,Customers / Messaging,legacy_institution,true,historical:business_writer_surface,
src/modules/institution/domain/wecom-customer-mapping-review.ts,update,0,,,business_writer_surface,W1_CUSTOMERS_MESSAGING,Customers / Messaging,legacy_institution,true,historical:business_writer_surface,
src/modules/institution/domain/wecom-real-send-proof.ts,update,0,,,business_writer_surface,W1_CUSTOMERS_MESSAGING,Customers / Messaging,legacy_institution,true,historical:business_writer_surface,
src/modules/institution/server/his-connection-credential-storage.ts,update,0,,,business_writer_surface,W6_INSTITUTION_SYSTEM,Institution System,legacy_institution,true,historical:business_writer_surface,
src/modules/institution/server/institution-knowledge-rag-answer-service.ts,update,0,,,business_writer_surface,W3_KNOWLEDGE,Knowledge,legacy_institution,true,historical:business_writer_surface,
src/modules/institution/server/institution-knowledge-upload-service.ts,delete,0,,,business_writer_surface,W3_KNOWLEDGE,Knowledge,legacy_institution,true,historical:business_writer_surface,
src/modules/knowledge-base/server/v1-knowledge-base-embedding-vector-index-runtime.ts,insert+update,2,insert+update,__UNRESOLVED__|knowledgeIndexJobs,business_writer_surface,W3_KNOWLEDGE,Knowledge,none,true,historical:business_writer_surface,
src/modules/knowledge-base/server/v1-knowledge-base-runtime-foundation-repository.ts,insert,4,insert,__UNRESOLVED__|knowledgeDocuments|knowledgeIndexJobs|knowledgeSources,business_writer_surface,W3_KNOWLEDGE,Knowledge,none,true,historical:business_writer_surface,
src/modules/knowledge/server/institution-knowledge-command-repository.ts,insert+update,8,insert+update,knowledgeDocumentFiles|knowledgeDocuments|knowledgeSources|platformKnowledgeInstitutionVisibility,,,,,true,approved_business_writer_runtime_path,
src/modules/knowledge/server/knowledge-quota-usage-command-repository.ts,insert,1,insert,__UNRESOLVED__,,,,,true,approved_business_writer_runtime_path,
src/modules/messaging/application/wecom-customer-mapping-command-service.ts,update,0,,,,,,,true,approved_business_writer_runtime_path,
src/modules/messaging/server/wecom-customer-broadcast-task-outcome-command-repository.ts,insert+update,2,insert+update,__UNRESOLVED__,,,,,true,approved_business_writer_runtime_path,
src/modules/messaging/server/wecom-customer-mapping-command-repository.ts,insert+update,2,insert+update,__UNRESOLVED__,,,,,true,approved_business_writer_runtime_path,
src/modules/messaging/server/wecom-reachout-command-repository.ts,insert+update,11,insert+update,__UNRESOLVED__|customerChannelFrequencyStates|institutionChannelDryRunSnapshots|weComRealSendProofOperations,,,,,true,approved_business_writer_runtime_path,
src/modules/open-platform/server/ai-credit-metering-rules-management.ts,insert+update,2,insert+update,__UNRESOLVED__,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/homepage-brand-asset-storage.ts,update,0,,,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/homepage-brand-repository.ts,insert+update,5,insert+update,__UNRESOLVED__|homepageBrandAuditLogs|homepageBrandConfigVersions|homepageBrandConfigs,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/homepage-brand-service.ts,delete,0,,,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/plan-catalog-repository.ts,insert+update,4,insert+update,tenantPlanVersions,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/platform-knowledge-document-parsing-service.ts,update,0,,,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,true,historical:later_or_outside_phase,
src/modules/open-platform/server/platform-knowledge-embedding-vector-search-service.ts,update,0,,,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/platform-knowledge-file-management-service.ts,delete+update,0,,,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/platform-knowledge-management-repository.ts,delete+insert+update,20,delete+insert+update,__UNRESOLVED__|knowledgeDocumentFileParseChunkEmbeddings|knowledgeDocumentFileParseChunks|knowledgeDocumentFileParses|knowledgeDocumentFiles|knowledgeDocuments|knowledgeIndexJobs|knowledgeIndexingJobs|knowledgeQaAuditLogs|knowledgeSources|platformKnowledgeInstitutionVisibility,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/platform-knowledge-qa-service.ts,update,0,,,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/platformAiModelConfigPersistenceRepository.ts,insert,1,insert,__UNRESOLVED__,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/platformAiProviderConfigRepository.ts,insert,1,insert,__UNRESOLVED__,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/tenant-account-management-repository.ts,insert+update,2,insert+update,__UNRESOLVED__|auditEvents,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/tenant-commercial-records-repository.ts,insert,1,insert,__UNRESOLVED__,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/tenant-plan-binding-repository.ts,insert,7,insert,__UNRESOLVED__|auditEvents|tenantAuthorizationSnapshots|tenantContacts|tenantPlanAssignments|tenants,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/tenant-plan-change-repository.ts,insert+update,10,insert+update,__UNRESOLVED__|tenantAuthorizationSnapshots|tenantPlanAssignments|tenantPlanChangeRecords,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/open-platform/server/vendorProviderConfigRepository.ts,delete+insert,2,delete+insert,__UNRESOLVED__,later_or_outside_phase,W8_PLATFORM_REVIEW,Platform,none,false,historical:later_or_outside_phase,
src/modules/security/server/institution-action-policy.ts,update,0,,,later_or_outside_phase,OTHER_REVIEW,Other,none,false,historical:later_or_outside_phase,
src/modules/security/server/institution-guard-reference.ts,update,0,,,later_or_outside_phase,OTHER_REVIEW,Other,none,false,historical:later_or_outside_phase,
src/modules/security/server/institution-membership-provider.ts,update,0,,,later_or_outside_phase,OTHER_REVIEW,Other,none,false,historical:later_or_outside_phase,
src/modules/security/server/institution-section-guard.ts,update,0,,,later_or_outside_phase,OTHER_REVIEW,Other,none,false,historical:later_or_outside_phase,
src/modules/security/server/secretEncryption.ts,update,0,,,later_or_outside_phase,OTHER_REVIEW,Other,none,false,historical:later_or_outside_phase,
src/modules/tenancy/provisioning/provisioning-candidate-canonicalization.ts,update,0,,,excluded_foundation_owner,EXCLUDED_TENANCY,Tenancy,none,false,historical:excluded_foundation_owner,
src/modules/tenancy/provisioning/provisioning-candidate-v2-canonicalization.ts,update,0,,,excluded_foundation_owner,EXCLUDED_TENANCY,Tenancy,none,false,historical:excluded_foundation_owner,
src/modules/tenancy/provisioning/provisioning-canonicalization.ts,update,0,,,excluded_foundation_owner,EXCLUDED_TENANCY,Tenancy,none,false,historical:excluded_foundation_owner,
