path,original_slice,current_direct_mutations,post_w1c_classification,next_slice,rationale,runtime_authorized
src/modules/institution/components/CustomerCenterShell.tsx,W1_CUSTOMERS_MESSAGING,none,closed_static_false_positive,none,W1 symbol audit confirmed no actual DB mutation,false
src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,W6_INSTITUTION_SYSTEM,none,pending_slice_reaudit,W6_INSTITUTION_SYSTEM,baseline Institution System business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx,W3_KNOWLEDGE,none,pending_slice_reaudit,W3_KNOWLEDGE,baseline Knowledge business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,W3_KNOWLEDGE,none,pending_slice_reaudit,W3_KNOWLEDGE,baseline Knowledge business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/components/InstitutionNavigationShell.tsx,W1_CUSTOMERS_MESSAGING,none,closed_static_false_positive,none,W1 symbol audit confirmed no actual DB mutation,false
src/modules/institution/domain/wecom-customer-mapping-review-actions.ts,W1_CUSTOMERS_MESSAGING,none,closed_static_false_positive,none,W1 symbol audit confirmed no actual DB mutation,false
src/modules/institution/domain/wecom-customer-mapping-review.ts,W1_CUSTOMERS_MESSAGING,update:canonicalEncode|update:lengthPrefix,closed_static_false_positive,none,W1 symbol audit confirmed no actual DB mutation,false
src/modules/institution/domain/wecom-real-send-proof.ts,W1_CUSTOMERS_MESSAGING,update:canonicalize,closed_static_false_positive,none,W1 symbol audit confirmed no actual DB mutation,false
src/modules/institution/server/his-connection-credential-compensation-job-queue-repository.ts,W6_INSTITUTION_SYSTEM,insert:hisConnectionCredentialCompensationJobs|update:hisConnectionCredentialCompensationJobs,pending_slice_reaudit,W6_INSTITUTION_SYSTEM,baseline Institution System business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/server/his-connection-credential-compensation-operation-repository.ts,W6_INSTITUTION_SYSTEM,insert:hisConnectionCredentialCompensationOperations|update:hisConnectionCredentialCompensationOperations,pending_slice_reaudit,W6_INSTITUTION_SYSTEM,baseline Institution System business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/server/his-connection-credential-storage.ts,W6_INSTITUTION_SYSTEM,update:credentialRef,pending_slice_reaudit,W6_INSTITUTION_SYSTEM,baseline Institution System business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/server/his-connection-repository.ts,W6_INSTITUTION_SYSTEM,insert:hisConnections|update:hisConnections,pending_slice_reaudit,W6_INSTITUTION_SYSTEM,baseline Institution System business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/server/institution-ai-call-usage-repository.ts,W5_ANALYTICS,insert:aiCallUsageRecords,pending_slice_reaudit,W5_ANALYTICS,baseline Analytics business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/server/institution-knowledge-rag-answer-service.ts,W3_KNOWLEDGE,update:question,pending_slice_reaudit,W3_KNOWLEDGE,baseline Knowledge business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/server/institution-knowledge-upload-service.ts,W3_KNOWLEDGE,none,pending_slice_reaudit,W3_KNOWLEDGE,baseline Knowledge business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/server/institution-knowledge-write-repository.ts,W3_KNOWLEDGE,insert:knowledgeDocuments|insert:knowledgeSources|insert:platformKnowledgeInstitutionVisibility|update:knowledgeDocumentFiles|update:knowledgeDocuments|update:knowledgeSources,pending_slice_reaudit,W3_KNOWLEDGE,baseline Knowledge business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/server/knowledge-quota-usage-service.ts,W3_KNOWLEDGE,insert:knowledgeQuotaUsageRecords,pending_slice_reaudit,W3_KNOWLEDGE,baseline Knowledge business Writer candidate not yet symbol-audited after W1,false
src/modules/institution/server/tenant-business-repository.ts,W1_CUSTOMERS_MESSAGING,insert:appointments|insert:followUpCustomerTimelineEvents|insert:followUpMessageDrafts|insert:followUpPathEnrollments|insert:followUpPathStages|insert:followUpTasks|update:appointments|update:followUpMessageDrafts|update:followUpPathEnrollments|update:followUpTasks,pending_reassigned_W2_CARE_residual,W2_CARE,Customers core closed; mixed Care/Follow-up direct mutations remain in legacy aggregate,false
src/modules/institution/server/treatment-summary-repository.ts,W1_CUSTOMERS_MESSAGING,insert:treatmentSummaries|update:treatmentSummaries,pending_reassigned_W2_CARE,W2_CARE,W1 symbol audit explicitly reassigned true Writer to Care,false
