writer_group,symbol,caller_path,caller_kind,reference_count,runtime_authorized
W2_P1_TREATMENT_SUMMARY,createTreatmentSummary,src/modules/institution/tests/TreatmentSummaryRepository.test.ts,test,1,false
W2_P1_TREATMENT_SUMMARY,updateTreatmentSummaryByTenant,src/modules/institution/tests/TreatmentSummaryRepository.test.ts,test,6,false
W2_P1_TREATMENT_SUMMARY,voidTreatmentSummaryByTenant,src/modules/institution/tests/TreatmentSummaryRepository.test.ts,test,3,false
W2_P1_TREATMENT_SUMMARY_FACTORY,createTreatmentSummaryRepository,src/modules/institution/tests/TreatmentSummaryRepository.test.ts,test,22,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,cancelFollowUpPathEnrollment,src/modules/institution/server/followup-path-enrollment-service.ts,production,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,createAppointment,src/modules/institution/tests/TenantBusinessRepository.test.ts,test,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,createFollowUpMessageDraft,src/modules/institution/server/followup-message-draft-service.ts,production,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,createFollowUpPathEnrollment,src/modules/institution/server/followup-path-enrollment-service.ts,production,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,createFollowUpPathStages,src/modules/institution/server/followup-path-enrollment-service.ts,production,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,createFollowUpTaskFromTreatmentSummarySuggestion,src/modules/institution/server/followup-path-enrollment-service.ts,production,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,createFollowUpTaskFromTreatmentSummarySuggestion,src/modules/institution/server/treatment-followup-confirmation.ts,production,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,createFollowUpTaskFromTreatmentSummarySuggestion,src/modules/institution/tests/TenantBusinessRepository.test.ts,test,6,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,recordFollowUpCustomerTimelineEvent,src/modules/institution/server/followup-customer-timeline-service.ts,production,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,transitionFollowUpTask,src/modules/institution/tests/TenantBusinessRepository.test.ts,test,4,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,updateAppointment,src/modules/institution/tests/TenantBusinessRepository.test.ts,test,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,updateFollowUpMessageDraftContent,src/modules/institution/server/followup-message-draft-service.ts,production,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,updateFollowUpMessageDraftControlledReachOut,src/modules/institution/server/wecom-controlled-reachout-service.ts,production,1,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,updateFollowUpMessageDraftControlledReachOut,src/modules/institution/tests/WeComControlledReachOutRepository.test.ts,test,1,false
