writer_group,path,method,mutation_kind,table_symbol,tenant_signal,institution_signal,customer_signal,transaction_signal,runtime_authorized
W2_P1_TREATMENT_SUMMARY,src/modules/institution/server/treatment-summary-repository.ts,createTreatmentSummary,insert,treatmentSummaries,present,missing,present,none,false
W2_P1_TREATMENT_SUMMARY,src/modules/institution/server/treatment-summary-repository.ts,updateTreatmentSummaryByTenant,update,treatmentSummaries,present,missing,present,none,false
W2_P1_TREATMENT_SUMMARY,src/modules/institution/server/treatment-summary-repository.ts,voidTreatmentSummaryByTenant,update,treatmentSummaries,present,missing,missing,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,createAppointment,insert,appointments,missing,missing,missing,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,createFollowUpTaskFromTreatmentSummarySuggestion,insert,followUpTasks,present,missing,present,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,createManualFollowUpTask,insert,followUpTasks,present,missing,present,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,updateAppointment,update,appointments,present,missing,missing,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,transitionFollowUpTask,update,followUpTasks,present,missing,missing,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,createFollowUpPathEnrollment,insert,followUpPathEnrollments,present,present,present,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,createFollowUpPathStages,insert,followUpPathStages,missing,missing,missing,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,cancelFollowUpPathEnrollment,update,followUpPathEnrollments,present,present,missing,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,recordFollowUpCustomerTimelineEvent,insert,followUpCustomerTimelineEvents,present,missing,present,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,updateFollowUpMessageDraftControlledReachOut,update,followUpMessageDrafts,present,present,present,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,createFollowUpMessageDraft,insert,followUpMessageDrafts,present,present,missing,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,updateFollowUpMessageDraftContent,update,followUpMessageDrafts,present,present,missing,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,approveFollowUpMessageDraft,update,followUpMessageDrafts,present,present,missing,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,rejectFollowUpMessageDraft,update,followUpMessageDrafts,present,present,missing,none,false
W2_P2_CARE_FOLLOWUP_RESIDUAL,src/modules/institution/server/tenant-business-repository.ts,markFollowUpMessageDraftAsSent,update,followUpMessageDrafts,present,present,missing,none,false
