slice,method,caller_path,caller_kind,reference_count,rewire_required,runtime_authorized
W2_P2B_FOLLOWUP_PATH_TIMELINE,recordFollowUpCustomerTimelineEvent,src/modules/institution/server/followup-customer-timeline-service.ts,production,1,true,false
W2_P2C_MESSAGE_DRAFT,approveFollowUpMessageDraft,src/modules/institution/server/followup-message-draft-service.ts,production,1,true,false
W2_P2C_MESSAGE_DRAFT,createFollowUpMessageDraft,src/modules/institution/server/followup-message-draft-service.ts,production,1,true,false
W2_P2C_MESSAGE_DRAFT,markFollowUpMessageDraftAsSent,src/modules/institution/server/followup-message-draft-service.ts,production,1,true,false
W2_P2C_MESSAGE_DRAFT,rejectFollowUpMessageDraft,src/modules/institution/server/followup-message-draft-service.ts,production,1,true,false
W2_P2C_MESSAGE_DRAFT,updateFollowUpMessageDraftContent,src/modules/institution/server/followup-message-draft-service.ts,production,1,true,false
W2_P2B_FOLLOWUP_PATH_TIMELINE,cancelFollowUpPathEnrollment,src/modules/institution/server/followup-path-enrollment-service.ts,production,1,true,false
W2_P2B_FOLLOWUP_PATH_TIMELINE,createFollowUpPathEnrollment,src/modules/institution/server/followup-path-enrollment-service.ts,production,1,true,false
W2_P2B_FOLLOWUP_PATH_TIMELINE,createFollowUpPathStages,src/modules/institution/server/followup-path-enrollment-service.ts,production,1,true,false
W2_P2B_FOLLOWUP_PATH_TIMELINE,createFollowUpTaskFromTreatmentSummarySuggestion,src/modules/institution/server/followup-path-enrollment-service.ts,production,1,true,false
W2_P2B_FOLLOWUP_PATH_TIMELINE,createFollowUpTaskFromTreatmentSummarySuggestion,src/modules/institution/server/treatment-followup-confirmation.ts,production,1,true,false
W2_P2C_MESSAGE_DRAFT,updateFollowUpMessageDraftControlledReachOut,src/modules/institution/server/wecom-controlled-reachout-service.ts,production,1,true,false
W2_P2A_APPOINTMENTS,createAppointment,src/modules/institution/tests/TenantBusinessRepository.test.ts,test,1,false,false
W2_P2B_FOLLOWUP_PATH_TIMELINE,createFollowUpTaskFromTreatmentSummarySuggestion,src/modules/institution/tests/TenantBusinessRepository.test.ts,test,6,false,false
W2_P2B_FOLLOWUP_PATH_TIMELINE,transitionFollowUpTask,src/modules/institution/tests/TenantBusinessRepository.test.ts,test,4,false,false
W2_P2A_APPOINTMENTS,updateAppointment,src/modules/institution/tests/TenantBusinessRepository.test.ts,test,1,false,false
W2_P2C_MESSAGE_DRAFT,updateFollowUpMessageDraftControlledReachOut,src/modules/institution/tests/WeComControlledReachOutRepository.test.ts,test,1,false,false
