family_key,domain,route_count,versioned_route_count,unversioned_route_count,pair_status,http_methods,runtime_reference_file_count,test_reference_file_count,governance_priority,migration_ready,route_paths,runtime_reference_files,recommendation
/api/auth/login,auth,1,0,1,unversioned_only,POST,1,2,P1,no,src/app/api/auth/login/route.ts,src/modules/auth/components/ConfiguredLoginPages.tsx,补齐调用方和兼容策略后再决定版本化
/api/auth/logout,auth,1,0,1,unversioned_only,POST,1,2,P1,no,src/app/api/auth/logout/route.ts,src/modules/auth/components/LogoutButton.tsx,补齐调用方和兼容策略后再决定版本化
/api/auth/session,auth,1,0,1,unversioned_only,GET,2,5,P1,no,src/app/api/auth/session/route.ts,src/modules/auth/components/DemoSessionGate.tsx；src/modules/workspace/components/InstitutionWorkspace.tsx,补齐调用方和兼容策略后再决定版本化
/api/institution/ai-service-usage,institution,1,0,1,unversioned_only,GET,1,3,P1,no,src/app/api/institution/ai-service-usage/route.ts,src/modules/institution/client/institution-ai-service-usage-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/appointments,institution,1,0,1,unversioned_only,GET；PATCH；POST,1,7,P1,no,src/app/api/institution/appointments/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/audit-events,institution,1,0,1,unversioned_only,GET,1,4,P1,no,src/app/api/institution/audit-events/route.ts,src/modules/audit/client/institution-audit-events-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/customers,institution,1,0,1,unversioned_only,GET；PATCH；POST,2,16,P1,no,src/app/api/institution/customers/route.ts,src/modules/institution/client/tenant-business-client.ts；src/modules/institution/client/trusted-reachout-safety-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/customers/[customerId]/followup-feedback,institution,1,0,1,unversioned_only,POST,1,2,P1,no,src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/customers/[customerId]/followup-overview,institution,1,0,1,unversioned_only,GET,1,1,P1,no,src/app/api/institution/customers/[customerId]/followup-overview/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/customers/[customerId]/followup-timeline,institution,1,0,1,unversioned_only,GET,1,1,P1,no,src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/customers/[customerId]/timeline,institution,1,0,1,unversioned_only,GET,1,4,P1,no,src/app/api/institution/customers/[customerId]/timeline/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/customers/[customerId]/treatment-summaries,institution,1,0,1,unversioned_only,POST,1,6,P1,no,src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/customers/[customerId]/wecom-reachout-safety,institution,1,0,1,unversioned_only,GET；POST,1,1,P1,no,src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts,src/modules/institution/client/trusted-reachout-safety-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/customers/import,institution,1,0,1,unversioned_only,POST；PUT,1,2,P1,no,src/app/api/institution/customers/import/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/dashboard-stats,institution,1,0,1,unversioned_only,GET,0,1,P2,no,src/app/api/institution/dashboard-stats/route.ts,,补齐调用方和兼容策略后再决定版本化
/api/institution/entitlement-usage,institution,1,0,1,unversioned_only,GET,2,3,P1,no,src/app/api/institution/entitlement-usage/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx；src/modules/workspace/components/InstitutionWorkspace.tsx,补齐调用方和兼容策略后再决定版本化
/api/institution/follow-up-path-analysis,institution,1,0,1,unversioned_only,GET,1,4,P1,no,src/app/api/institution/follow-up-path-analysis/route.ts,src/modules/workspace/components/InstitutionWorkspace.tsx,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-message-drafts,institution,1,0,1,unversioned_only,GET；POST,1,6,P1,no,src/app/api/institution/followup-message-drafts/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-message-drafts/[draftId],institution,1,0,1,unversioned_only,PATCH,1,5,P1,no,src/app/api/institution/followup-message-drafts/[draftId]/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-message-drafts/[draftId]/approve,institution,1,0,1,unversioned_only,POST,1,2,P1,no,src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-message-drafts/[draftId]/mark-sent,institution,1,0,1,unversioned_only,POST,1,2,P1,no,src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-message-drafts/[draftId]/reject,institution,1,0,1,unversioned_only,POST,1,1,P1,no,src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout,institution,1,0,1,unversioned_only,GET；POST,1,3,P1,no,src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task,institution,1,0,1,unversioned_only,GET；POST,0,1,P2,no,src/app/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task/route.ts,,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-message-templates,institution,1,0,1,unversioned_only,GET,1,1,P1,no,src/app/api/institution/followup-message-templates/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-operations/dashboard,institution,1,0,1,unversioned_only,GET,1,3,P1,no,src/app/api/institution/followup-operations/dashboard/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-paths/enrollments,institution,1,0,1,unversioned_only,GET；POST,1,4,P1,no,src/app/api/institution/followup-paths/enrollments/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-paths/enrollments/[enrollmentId],institution,1,0,1,unversioned_only,GET,1,1,P1,no,src/app/api/institution/followup-paths/enrollments/[enrollmentId]/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-paths/enrollments/[enrollmentId]/cancel,institution,1,0,1,unversioned_only,POST,1,1,P1,no,src/app/api/institution/followup-paths/enrollments/[enrollmentId]/cancel/route.ts,src/modules/institution/client/tenant-business-client.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/followup-paths/templates,institution,1,0,1,unversioned_only,GET,0,1,P2,no,src/app/api/institution/followup-paths/templates/route.ts,,补齐调用方和兼容策略后再决定版本化
/api/institution/followups,institution,1,0,1,unversioned_only,GET；PATCH；POST,2,9,P1,no,src/app/api/institution/followups/route.ts,src/modules/institution/client/tenant-business-client.ts；src/modules/institution/components/CustomerTimelineDrawer.tsx,补齐调用方和兼容策略后再决定版本化
/api/institution/his-connections,institution,1,0,1,unversioned_only,GET；POST,5,6,P1,no,src/app/api/institution/his-connections/route.ts,src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/revoke/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/rotate/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/route.ts；src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,补齐调用方和兼容策略后再决定版本化
/api/institution/his-connections/[connectionId],institution,1,0,1,unversioned_only,DELETE；GET；PATCH,5,5,P1,no,src/app/api/institution/his-connections/[connectionId]/route.ts,src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/revoke/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/rotate/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/route.ts；src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,补齐调用方和兼容策略后再决定版本化
/api/institution/his-connections/[connectionId]/credentials,institution,1,0,1,unversioned_only,PATCH；POST,3,1,P1,no,src/app/api/institution/his-connections/[connectionId]/credentials/route.ts,src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/revoke/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/rotate/route.ts,补齐调用方和兼容策略后再决定版本化
/api/institution/his-connections/[connectionId]/credentials/clear,institution,1,0,1,unversioned_only,POST,0,1,P2,no,src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.ts,,补齐调用方和兼容策略后再决定版本化
