family_key,domains,route_count,versioned_route_count,unversioned_route_count,pair_status,phase11_candidate_count,phase12_gap_count,http_methods,runtime_reference_file_count,test_reference_file_count,dynamic_route_count,current_matrix_actions,governance_priority,migration_ready,route_paths,runtime_reference_files,recommended_next_action
/api/auth/login,auth,1,0,1,unversioned_only,1,0,POST,1,2,0,API_VERSION_REVIEW,P2,no,src/app/api/auth/login/route.ts,src/modules/auth/components/ConfiguredLoginPages.tsx,保持原路径；明确是否需要版本化入口
/api/auth/logout,auth,1,0,1,unversioned_only,1,0,POST,1,2,0,API_VERSION_REVIEW,P2,no,src/app/api/auth/logout/route.ts,src/modules/auth/components/LogoutButton.tsx,保持原路径；明确是否需要版本化入口
/api/auth/session,auth,1,0,1,unversioned_only,1,0,GET,2,5,0,API_VERSION_REVIEW,P2,no,src/app/api/auth/session/route.ts,src/modules/auth/components/DemoSessionGate.tsx；src/modules/workspace/components/InstitutionWorkspace.tsx,保持原路径；明确是否需要版本化入口
/api/institution/ai-models,institution,1,1,0,versioned_only,0,1,GET,0,1,0,KEEP_REVIEW,P1,no,src/app/api/v1/institution/ai-models/route.ts,,先补齐矩阵分类并核对是否存在仓库外非版本化客户端
/api/institution/ai-service-usage,institution,1,0,1,unversioned_only,1,0,GET,1,3,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/ai-service-usage/route.ts,src/modules/institution/client/institution-ai-service-usage-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/appointments,institution,1,0,1,unversioned_only,1,0,GET；PATCH；POST,1,7,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/appointments/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/audit-events,institution,1,0,1,unversioned_only,1,0,GET,1,4,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/audit-events/route.ts,src/modules/audit/client/institution-audit-events-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/customers,institution,1,0,1,unversioned_only,1,0,GET；PATCH；POST,2,16,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/customers/route.ts,src/modules/institution/client/tenant-business-client.ts；src/modules/institution/client/trusted-reachout-safety-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/customers/[customerId]/followup-feedback,institution,1,0,1,unversioned_only,1,0,POST,1,2,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/customers/[customerId]/followup-overview,institution,1,0,1,unversioned_only,1,0,GET,1,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/customers/[customerId]/followup-overview/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/customers/[customerId]/followup-timeline,institution,1,0,1,unversioned_only,1,0,GET,1,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/customers/[customerId]/timeline,institution,1,0,1,unversioned_only,1,0,GET,1,4,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/customers/[customerId]/timeline/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/customers/[customerId]/treatment-summaries,institution,1,0,1,unversioned_only,1,0,POST,1,6,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/customers/[customerId]/wecom-reachout-safety,institution,1,0,1,unversioned_only,1,0,GET；POST,1,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts,src/modules/institution/client/trusted-reachout-safety-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/customers/import,institution,1,0,1,unversioned_only,1,0,POST；PUT,1,2,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/customers/import/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/dashboard-stats,institution,1,0,1,unversioned_only,1,0,GET,0,1,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/dashboard-stats/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/entitlement-usage,institution,1,0,1,unversioned_only,1,0,GET,2,3,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/entitlement-usage/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx；src/modules/workspace/components/InstitutionWorkspace.tsx,保持原路径；明确是否需要版本化入口
/api/institution/follow-up-path-analysis,institution,1,0,1,unversioned_only,1,0,GET,1,4,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/follow-up-path-analysis/route.ts,src/modules/workspace/components/InstitutionWorkspace.tsx,保持原路径；明确是否需要版本化入口
/api/institution/followup-message-drafts,institution,1,0,1,unversioned_only,1,0,GET；POST,1,6,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-message-drafts/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-message-drafts/[draftId],institution,1,0,1,unversioned_only,1,0,PATCH,1,5,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-message-drafts/[draftId]/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-message-drafts/[draftId]/approve,institution,1,0,1,unversioned_only,1,0,POST,1,2,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-message-drafts/[draftId]/mark-sent,institution,1,0,1,unversioned_only,1,0,POST,1,2,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-message-drafts/[draftId]/reject,institution,1,0,1,unversioned_only,1,0,POST,1,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout,institution,1,0,1,unversioned_only,1,0,GET；POST,1,3,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task,institution,1,0,1,unversioned_only,1,0,GET；POST,0,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/followup-message-templates,institution,1,0,1,unversioned_only,1,0,GET,1,1,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-message-templates/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-operations/dashboard,institution,1,0,1,unversioned_only,1,0,GET,1,3,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-operations/dashboard/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-paths/enrollments,institution,1,0,1,unversioned_only,1,0,GET；POST,1,4,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-paths/enrollments/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-paths/enrollments/[enrollmentId],institution,1,0,1,unversioned_only,1,0,GET,1,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-paths/enrollments/[enrollmentId]/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-paths/enrollments/[enrollmentId]/cancel,institution,1,0,1,unversioned_only,1,0,POST,1,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-paths/enrollments/[enrollmentId]/cancel/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
/api/institution/followup-paths/templates,institution,1,0,1,unversioned_only,1,0,GET,0,1,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/followup-paths/templates/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/followups,institution,1,0,1,unversioned_only,1,0,GET；PATCH；POST,2,9,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/followups/route.ts,src/modules/institution/client/tenant-business-client.ts；src/modules/institution/components/CustomerTimelineDrawer.tsx,保持原路径；明确是否需要版本化入口
/api/institution/his-connections,institution,1,0,1,unversioned_only,1,0,GET；POST,5,6,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/his-connections/route.ts,src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/revoke/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/rotate/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/route.ts；src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,保持原路径；明确是否需要版本化入口
/api/institution/his-connections/[connectionId],institution,1,0,1,unversioned_only,1,0,DELETE；GET；PATCH,5,5,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/his-connections/[connectionId]/route.ts,src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/revoke/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/rotate/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/route.ts；src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,保持原路径；明确是否需要版本化入口
/api/institution/his-connections/[connectionId]/credentials,institution,1,0,1,unversioned_only,1,0,PATCH；POST,3,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/his-connections/[connectionId]/credentials/route.ts,src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/revoke/route.ts；src/app/api/institution/his-connections/[connectionId]/credentials/rotate/route.ts,保持原路径；明确是否需要版本化入口
/api/institution/his-connections/[connectionId]/credentials/clear,institution,1,0,1,unversioned_only,1,0,POST,0,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/his-connections/[connectionId]/credentials/clear/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/his-connections/[connectionId]/credentials/revoke,institution,1,0,1,unversioned_only,1,0,POST,0,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/his-connections/[connectionId]/credentials/revoke/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/his-connections/[connectionId]/credentials/rotate,institution,1,0,1,unversioned_only,1,0,POST,0,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/his-connections/[connectionId]/credentials/rotate/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/his-connections/[connectionId]/pause,institution,1,0,1,unversioned_only,1,0,POST,0,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/his-connections/[connectionId]/pause/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/his-connections/[connectionId]/resume,institution,1,0,1,unversioned_only,1,0,POST,0,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/his-connections/[connectionId]/resume/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/his-connections/[connectionId]/revoke,institution,1,0,1,unversioned_only,1,0,POST,0,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/his-connections/[connectionId]/revoke/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/his-connections/[connectionId]/test-connection,institution,1,0,1,unversioned_only,1,0,POST,0,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/his-connections/[connectionId]/test-connection/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/ai-call,institution,1,0,1,unversioned_only,1,0,POST,1,4,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/ai-call/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/ai-call/usage,institution,1,0,1,unversioned_only,1,0,GET,1,2,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/ai-call/usage/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/answer,institution,1,0,1,unversioned_only,1,0,POST,1,2,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/answer/route.ts,src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/indexing-jobs,institution,1,0,1,unversioned_only,1,0,GET；POST,1,2,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/indexing-jobs/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/indexing-jobs/[jobId],institution,1,0,1,unversioned_only,1,0,GET,1,2,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/indexing-jobs/[jobId]/cancel,institution,1,0,1,unversioned_only,1,0,POST,1,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/cancel/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/items,institution,1,0,1,unversioned_only,1,0,GET；PATCH；POST,3,8,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/items/route.ts,src/modules/institution/client/tenant-business-client.ts；src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx；src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/items/[knowledgeId]/files,institution,1,0,1,unversioned_only,1,0,GET,2,6,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/route.ts,src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx；src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/download,institution,1,0,1,unversioned_only,1,0,GET,1,3,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/embeddings,institution,1,0,1,unversioned_only,1,0,POST,1,1,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/embeddings/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse,institution,1,0,1,unversioned_only,1,0,GET；POST,2,3,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts,src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx；src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks,institution,1,0,1,unversioned_only,1,0,GET,2,2,1,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts,src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx；src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/qa,institution,1,0,1,unversioned_only,1,0,POST,1,3,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/qa/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/qa/audits,institution,1,0,1,unversioned_only,1,0,GET,1,2,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/qa/audits/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/retrieval,institution,1,0,1,unversioned_only,1,0,GET,1,2,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/retrieval/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/search,institution,1,0,1,unversioned_only,1,0,GET,1,5,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/search/route.ts,src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/upload,institution,1,0,1,unversioned_only,1,0,POST,2,2,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/upload/route.ts,src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx；src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/knowledge-management/vector-search,institution,1,0,1,unversioned_only,1,0,GET,1,3,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/knowledge-management/vector-search/route.ts,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,保持原路径；明确是否需要版本化入口
/api/institution/opportunities,institution,1,0,1,unversioned_only,1,0,GET,0,1,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/opportunities/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/real-channel-preflight,institution,1,0,1,unversioned_only,1,0,GET；POST,0,1,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/real-channel-preflight/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/real-channel-preflight/evaluate,institution,1,0,1,unversioned_only,1,0,POST,0,0,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/real-channel-preflight/evaluate/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/safety-switch,institution,1,0,1,unversioned_only,1,0,GET；PATCH,0,1,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/safety-switch/route.ts,,保持原路径；明确是否需要版本化入口
/api/institution/treatment-summaries,institution,1,0,1,unversioned_only,1,0,GET,1,9,0,API_VERSION_REVIEW,P2,no,src/app/api/institution/treatment-summaries/route.ts,src/modules/institution/client/tenant-business-client.ts,保持原路径；明确是否需要版本化入口
