batch_order,batch_group,family_key,domains,phase18_strategy,route_count,versioned_route_count,unversioned_route_count,pair_status,http_methods,dynamic_route_count,current_risks,known_runtime_consumer_count,test_reference_file_count,replication_shape,admission_gate,block_reason,action_now,route_paths
2,client_migration_required,/api/auth/login,auth,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,0,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/auth/login/route.ts
2,client_migration_required,/api/auth/logout,auth,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,0,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/auth/logout/route.ts
2,client_migration_required,/api/auth/session,auth,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,2,5,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/auth/session/route.ts
2,client_migration_required,/api/institution/ai-service-usage,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,1,3,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/ai-service-usage/route.ts
2,client_migration_required,/api/institution/appointments,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；PATCH；POST,0,high,1,7,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/appointments/route.ts
2,client_migration_required,/api/institution/audit-events,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,1,4,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/audit-events/route.ts
2,client_migration_required,/api/institution/customers,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；PATCH；POST,0,high,2,16,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/customers/route.ts
2,client_migration_required,/api/institution/customers/[customerId]/followup-feedback,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,1,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/customers/[customerId]/followup-feedback/route.ts
2,client_migration_required,/api/institution/customers/[customerId]/followup-overview,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,1,high,1,1,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/customers/[customerId]/followup-overview/route.ts
2,client_migration_required,/api/institution/customers/[customerId]/followup-timeline,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,1,high,1,1,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/customers/[customerId]/followup-timeline/route.ts
2,client_migration_required,/api/institution/customers/[customerId]/timeline,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,1,high,1,4,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/customers/[customerId]/timeline/route.ts
2,client_migration_required,/api/institution/customers/[customerId]/treatment-summaries,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,1,high,1,6,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts
2,client_migration_required,/api/institution/customers/[customerId]/wecom-reachout-safety,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；POST,1,high,1,1,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts
2,client_migration_required,/api/institution/customers/import,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST；PUT,0,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/customers/import/route.ts
2,client_migration_required,/api/institution/entitlement-usage,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,2,3,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/entitlement-usage/route.ts
2,client_migration_required,/api/institution/follow-up-path-analysis,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,1,4,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/follow-up-path-analysis/route.ts
2,client_migration_required,/api/institution/followup-message-drafts,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；POST,0,high,1,6,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-message-drafts/route.ts
2,client_migration_required,/api/institution/followup-message-drafts/[draftId],institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,PATCH,1,high,1,5,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-message-drafts/[draftId]/route.ts
2,client_migration_required,/api/institution/followup-message-drafts/[draftId]/approve,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,1,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts
2,client_migration_required,/api/institution/followup-message-drafts/[draftId]/mark-sent,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,1,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts
2,client_migration_required,/api/institution/followup-message-drafts/[draftId]/reject,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,1,high,1,1,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts
2,client_migration_required,/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；POST,1,high,1,3,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout/route.ts
2,client_migration_required,/api/institution/followup-message-templates,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,1,1,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-message-templates/route.ts
2,client_migration_required,/api/institution/followup-operations/dashboard,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,1,3,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-operations/dashboard/route.ts
2,client_migration_required,/api/institution/followup-paths/enrollments,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；POST,0,high,1,4,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-paths/enrollments/route.ts
2,client_migration_required,/api/institution/followup-paths/enrollments/[enrollmentId],institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,1,high,1,1,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-paths/enrollments/[enrollmentId]/route.ts
2,client_migration_required,/api/institution/followup-paths/enrollments/[enrollmentId]/cancel,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,1,high,1,1,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followup-paths/enrollments/[enrollmentId]/cancel/route.ts
2,client_migration_required,/api/institution/followups,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；PATCH；POST,0,high,2,9,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/followups/route.ts
2,client_migration_required,/api/institution/his-connections,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；POST,0,high,5,6,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/his-connections/route.ts
2,client_migration_required,/api/institution/his-connections/[connectionId],institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,DELETE；GET；PATCH,1,high,5,5,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/his-connections/[connectionId]/route.ts
2,client_migration_required,/api/institution/his-connections/[connectionId]/credentials,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,PATCH；POST,1,high,3,1,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/his-connections/[connectionId]/credentials/route.ts
2,client_migration_required,/api/institution/knowledge-management/ai-call,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,0,high,1,4,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/ai-call/route.ts
2,client_migration_required,/api/institution/knowledge-management/ai-call/usage,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/ai-call/usage/route.ts
2,client_migration_required,/api/institution/knowledge-management/answer,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,0,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/answer/route.ts
2,client_migration_required,/api/institution/knowledge-management/indexing-jobs,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；POST,0,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/indexing-jobs/route.ts
2,client_migration_required,/api/institution/knowledge-management/indexing-jobs/[jobId],institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,1,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/route.ts
2,client_migration_required,/api/institution/knowledge-management/indexing-jobs/[jobId]/cancel,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,1,high,1,1,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/indexing-jobs/[jobId]/cancel/route.ts
2,client_migration_required,/api/institution/knowledge-management/items,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；PATCH；POST,0,high,3,8,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/items/route.ts
2,client_migration_required,/api/institution/knowledge-management/items/[knowledgeId]/files,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,1,high,2,6,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/route.ts
2,client_migration_required,/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/download,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,1,high,1,3,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/download/route.ts
2,client_migration_required,/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/embeddings,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,1,high,1,1,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/embeddings/route.ts
2,client_migration_required,/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET；POST,1,high,2,3,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts
2,client_migration_required,/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,1,high,2,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts
2,client_migration_required,/api/institution/knowledge-management/qa,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,0,high,1,3,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/qa/route.ts
2,client_migration_required,/api/institution/knowledge-management/qa/audits,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/qa/audits/route.ts
2,client_migration_required,/api/institution/knowledge-management/retrieval,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,1,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/retrieval/route.ts
2,client_migration_required,/api/institution/knowledge-management/search,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,1,5,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/search/route.ts
2,client_migration_required,/api/institution/knowledge-management/upload,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,POST,0,high,2,2,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/upload/route.ts
2,client_migration_required,/api/institution/knowledge-management/vector-search,institution,REQUIRE_CLIENT_MIGRATION,1,0,1,unversioned_only,GET,0,high,1,3,not_applicable,caller_inventory_complete_and_dual_entry_contract_approved,,none_audit_only,src/app/api/institution/knowledge-management/vector-search/route.ts
