file_path,role,owner,loc,type_only_file,import_count,runtime_import_count,internal_outbound_count,institution_outbound_count,cross_module_outbound_count,inbound_consumer_count,test_consumer_count,cross_module_inbound_count,reverse_dependency_count,cycle_member,cycle_id,runtime_boundary_tokens,stable_entry_suggestion,phase23_eligible,phase23_block_reason
src/modules/institution/client/institution-ai-service-usage-client.ts,client,entitlement,224,no,0,0,0,0,0,1,0,0,0,no,,,src/modules/institution/entitlement/index.ts,no,not_domain_or_contract
src/modules/institution/client/tenant-business-client.ts,client,shared,1287,no,13,0,13,13,0,18,9,1,0,no,,environment,src/modules/institution/shared/index.ts,no,not_domain_or_contract；runtime_boundary_token；too_many_consumers
src/modules/institution/client/trusted-reachout-safety-client.ts,client,shared,138,no,1,1,1,1,0,2,1,0,0,no,,,src/modules/institution/shared/index.ts,no,not_domain_or_contract
src/modules/institution/client/wecom-customer-mapping-client.ts,client,wecom,215,no,2,1,2,2,0,2,1,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_domain_or_contract
src/modules/institution/client/wecom-customer-mapping-review-actions-client.ts,client,wecom,390,no,2,0,2,2,0,2,1,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_domain_or_contract
src/modules/institution/components/AiConversationWorkbenchShell.tsx,component,conversation,1016,no,6,6,4,3,1,1,1,0,0,no,,react；external_channel,src/modules/institution/conversation/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/components/AppointmentCenterShell.tsx,component,appointment,604,no,8,6,6,6,0,3,2,1,0,no,,react,src/modules/institution/appointment/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token
src/modules/institution/components/CustomerCenterShell.tsx,component,customer,1474,no,11,9,9,8,1,3,2,1,0,no,,react；browser_runtime,src/modules/institution/customer/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/components/CustomerTimelineDrawer.tsx,component,customer,1650,no,10,5,8,8,0,2,1,0,0,no,,environment；network；react,src/modules/institution/customer/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token
src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,component,his,581,no,5,5,3,2,1,2,1,1,0,no,,network；react,src/modules/institution/his/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound
