original_path,current_path,role,owner,loc,import_count,inbound_consumer_count,test_consumer_count,cross_module_outbound_count,cross_module_inbound_count,reverse_dependency_count,cycle_member,runtime_boundary_tokens,governance_category,classification_reason,recommended_action,stable_entry_suggestion
src/modules/institution/client/institution-ai-service-usage-client.ts,src/modules/institution/client/institution-ai-service-usage-client.ts,client,entitlement,224,0,1,0,0,0,0,no,,keep_current,client_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/entitlement/index.ts
src/modules/institution/client/tenant-business-client.ts,src/modules/institution/client/tenant-business-client.ts,client,shared,1287,13,18,9,0,1,0,no,environment,keep_current,client_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/shared/index.ts
src/modules/institution/client/trusted-reachout-safety-client.ts,src/modules/institution/client/trusted-reachout-safety-client.ts,client,shared,138,1,2,1,0,0,0,no,,keep_current,client_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/shared/index.ts
src/modules/institution/client/wecom-customer-mapping-client.ts,src/modules/institution/client/wecom-customer-mapping-client.ts,client,wecom,215,2,2,1,0,0,0,no,,keep_current,client_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/wecom/index.ts
src/modules/institution/client/wecom-customer-mapping-review-actions-client.ts,src/modules/institution/client/wecom-customer-mapping-review-actions-client.ts,client,wecom,390,2,2,1,0,0,0,no,,keep_current,client_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/wecom/index.ts
src/modules/institution/components/AiConversationWorkbenchShell.tsx,src/modules/institution/components/AiConversationWorkbenchShell.tsx,component,conversation,1016,6,1,1,1,0,0,no,react；external_channel,keep_current,component_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/conversation/index.ts
src/modules/institution/components/AppointmentCenterShell.tsx,src/modules/institution/components/AppointmentCenterShell.tsx,component,appointment,604,8,3,2,0,1,0,no,react,keep_current,component_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/appointment/index.ts
src/modules/institution/components/CustomerCenterShell.tsx,src/modules/institution/components/CustomerCenterShell.tsx,component,customer,1474,11,3,2,1,1,0,no,react；browser_runtime,keep_current,component_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/customer/index.ts
src/modules/institution/components/CustomerTimelineDrawer.tsx,src/modules/institution/components/CustomerTimelineDrawer.tsx,component,customer,1650,10,2,1,0,0,0,no,environment；network；react,keep_current,component_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/customer/index.ts
src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,component,his,581,5,2,1,1,1,0,no,network；react,keep_current,component_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/his/index.ts
src/modules/institution/components/InstitutionAiServiceUsageShell.tsx,src/modules/institution/components/InstitutionAiServiceUsageShell.tsx,component,entitlement,464,6,2,1,1,1,0,no,react,keep_current,component_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/entitlement/index.ts
src/modules/institution/components/InstitutionAuditEventsShell.tsx,src/modules/institution/components/InstitutionAuditEventsShell.tsx,component,audit,558,7,2,1,3,1,0,no,react,keep_current,component_managed_in_place,keep_current_until_dedicated_ui_or_test_governance,src/modules/institution/audit/index.ts
