source,target,import_specifier,edge_scope,source_role,target_role,reverse_dependency,cycle_edge
src/app/(auth)/login/page.tsx,src/modules/open-platform/server/homepage-brand-repository.ts,@/modules/open-platform/server/homepage-brand-repository,project_inbound,page_shell,server_repository,no,no
src/app/(auth)/login/page.tsx,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,page_shell,server_service,no,no
src/app/(auth)/platform-login/page.tsx,src/modules/open-platform/server/homepage-brand-repository.ts,@/modules/open-platform/server/homepage-brand-repository,project_inbound,page_shell,server_repository,no,no
src/app/(auth)/platform-login/page.tsx,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,page_shell,server_service,no,no
src/app/(marketing)/page.tsx,src/modules/open-platform/server/homepage-brand-service.ts,@/modules/open-platform/server/homepage-brand-service,project_inbound,page_shell,server_service,no,no
src/app/api/open-platform/ai-credit-metering-rules/[id]/route.ts,src/modules/open-platform/server/ai-credit-metering-rules-management.ts,@/modules/open-platform/server/ai-credit-metering-rules-management,project_inbound,other,server_service,no,no
src/app/api/open-platform/ai-credit-metering-rules/route.ts,src/modules/open-platform/server/ai-credit-metering-rules-management.ts,@/modules/open-platform/server/ai-credit-metering-rules-management,project_inbound,other,server_service,no,no
src/app/api/open-platform/ai-usage-credits/route.ts,src/modules/open-platform/server/ai-usage-credits.ts,@/modules/open-platform/server/ai-usage-credits,project_inbound,other,server_service,no,no
src/app/api/open-platform/tenants/route.ts,src/modules/open-platform/domain/tenant-management.ts,@/modules/open-platform/domain/tenant-management,project_inbound,other,domain,no,no
src/app/api/open-platform/tenants/route.ts,src/modules/open-platform/server/tenant-management-repository.ts,@/modules/open-platform/server/tenant-management-repository,project_inbound,other,server_repository,no,no
src/app/api/open-platform/wecom/customer-data-governance/route.ts,src/modules/open-platform/domain/wecom-customer-data-governance.ts,@/modules/open-platform/domain/wecom-customer-data-governance,project_inbound,other,domain,no,no
src/app/api/v1/open-platform/ai-model-config/route.ts,src/modules/open-platform/server/platformAiModelConfigPersistence.ts,@/modules/open-platform/server/platformAiModelConfigPersistence,project_inbound,other,server_service,no,no
