file_path,role,owner,loc,type_only_file,import_count,runtime_import_count,internal_outbound_count,open_platform_outbound_count,cross_module_outbound_count,inbound_consumer_count,test_consumer_count,cross_module_inbound_count,reverse_dependency_count,cycle_member,cycle_id,runtime_boundary_tokens,stable_entry_suggestion,phase27_target_suggestion,phase27_eligible,phase27_block_reason
src/modules/open-platform/client/platform-ai-credit-metering-rules-client.ts,client,ai_runtime,228,no,0,0,0,0,0,2,1,0,0,no,,,src/modules/open-platform/ai_runtime/index.ts,src/modules/open-platform/domain/ai_runtime/platform-ai-credit-metering-rules-client.ts,no,not_domain_or_contract
src/modules/open-platform/client/platform-ai-usage-credits-client.ts,client,ai_runtime,303,no,0,0,0,0,0,2,1,0,0,no,,,src/modules/open-platform/ai_runtime/index.ts,src/modules/open-platform/domain/ai_runtime/platform-ai-usage-credits-client.ts,no,not_domain_or_contract
src/modules/open-platform/client/platform-plan-catalog-client.ts,client,commercial_entitlement,236,no,1,0,1,1,0,1,0,0,0,no,,,src/modules/open-platform/commercial_entitlement/index.ts,src/modules/open-platform/domain/commercial_entitlement/platform-plan-catalog-client.ts,no,not_domain_or_contract
src/modules/open-platform/client/platform-tenant-management-client.ts,client,tenant_governance,440,no,6,2,5,6,1,4,2,2,0,no,,,src/modules/open-platform/tenant_governance/index.ts,src/modules/open-platform/domain/tenant_governance/platform-tenant-management-client.ts,no,not_domain_or_contract；cross_module_outbound；cross_module_inbound
src/modules/open-platform/components/AiQuotaBoundaryPanel.tsx,component,commercial_entitlement,80,no,3,3,1,2,0,1,1,0,0,no,,,src/modules/open-platform/commercial_entitlement/index.ts,src/modules/open-platform/domain/commercial_entitlement/AiQuotaBoundaryPanel.tsx,no,not_plain_ts；not_domain_or_contract
src/modules/open-platform/components/CommercialBoundaryPanel.tsx,component,commercial_entitlement,135,no,3,3,1,2,0,2,1,1,0,no,,,src/modules/open-platform/commercial_entitlement/index.ts,src/modules/open-platform/domain/commercial_entitlement/CommercialBoundaryPanel.tsx,no,not_plain_ts；not_domain_or_contract；cross_module_inbound
src/modules/open-platform/components/HomepageBrandPanel.tsx,component,homepage_brand,1970,no,6,6,1,4,2,2,1,1,0,no,,network；react；browser_runtime,src/modules/open-platform/homepage_brand/index.ts,src/modules/open-platform/domain/homepage_brand/HomepageBrandPanel.tsx,no,not_plain_ts；not_domain_or_contract；runtime_boundary；cross_module_outbound；cross_module_inbound；large_file
src/modules/open-platform/components/KnowledgeFileCard.tsx,component,knowledge,134,no,2,2,0,1,0,1,0,0,0,no,,,src/modules/open-platform/knowledge/index.ts,src/modules/open-platform/domain/knowledge/KnowledgeFileCard.tsx,no,not_plain_ts；not_domain_or_contract
src/modules/open-platform/components/KnowledgeMetricCard.tsx,component,knowledge,36,no,2,1,0,1,0,1,0,0,0,no,,react,src/modules/open-platform/knowledge/index.ts,src/modules/open-platform/domain/knowledge/KnowledgeMetricCard.tsx,no,not_plain_ts；not_domain_or_contract；runtime_boundary
src/modules/open-platform/components/KnowledgeSignalCard.tsx,component,knowledge,34,no,2,1,0,1,0,1,0,0,0,no,,react,src/modules/open-platform/knowledge/index.ts,src/modules/open-platform/domain/knowledge/KnowledgeSignalCard.tsx,no,not_plain_ts；not_domain_or_contract；runtime_boundary
src/modules/open-platform/components/KnowledgeTenantRow.tsx,component,knowledge,74,no,1,1,0,1,0,1,0,0,0,no,,,src/modules/open-platform/knowledge/index.ts,src/modules/open-platform/domain/knowledge/KnowledgeTenantRow.tsx,no,not_plain_ts；not_domain_or_contract
src/modules/open-platform/components/OpenConnectionRoadmapPanel.tsx,component,shared,140,no,3,3,1,2,0,2,1,1,0,no,,,src/modules/open-platform/shared/index.ts,src/modules/open-platform/domain/shared/OpenConnectionRoadmapPanel.tsx,no,not_plain_ts；not_domain_or_contract；shared_owner；cross_module_inbound
src/modules/open-platform/components/OpenPlatformAiCreditMeteringRulesPanel.tsx,component,ai_runtime,474,no,5,5,2,3,0,2,1,1,0,no,,react,src/modules/open-platform/ai_runtime/index.ts,src/modules/open-platform/domain/ai_runtime/OpenPlatformAiCreditMeteringRulesPanel.tsx,no,not_plain_ts；not_domain_or_contract；runtime_boundary；cross_module_inbound
src/modules/open-platform/components/OpenPlatformAiModelConfigPanel.tsx,component,platform_config,1068,no,7,6,4,5,0,1,0,1,0,no,,network；react；browser_runtime；credential_or_provider,src/modules/open-platform/platform_config/index.ts,src/modules/open-platform/domain/platform_config/OpenPlatformAiModelConfigPanel.tsx,no,not_plain_ts；not_domain_or_contract；runtime_boundary；cross_module_inbound；large_file
src/modules/open-platform/components/OpenPlatformAiReadonlyPanel.tsx,component,shared,2031,no,5,5,2,3,0,3,2,1,0,no,,react；browser_runtime,src/modules/open-platform/shared/index.ts,src/modules/open-platform/domain/shared/OpenPlatformAiReadonlyPanel.tsx,no,not_plain_ts；not_domain_or_contract；shared_owner；runtime_boundary；cross_module_inbound；large_file
src/modules/open-platform/components/OpenPlatformAuditEventsPanel.tsx,component,audit,621,no,6,6,1,4,3,2,1,1,0,no,,react,src/modules/open-platform/audit/index.ts,src/modules/open-platform/domain/audit/OpenPlatformAuditEventsPanel.tsx,no,not_plain_ts；not_domain_or_contract；runtime_boundary；cross_module_outbound；cross_module_inbound；large_file
src/modules/open-platform/components/OpenPlatformGovernancePanel.tsx,component,shared,200,no,4,4,2,3,0,1,1,0,0,no,,,src/modules/open-platform/shared/index.ts,src/modules/open-platform/domain/shared/OpenPlatformGovernancePanel.tsx,no,not_plain_ts；not_domain_or_contract；shared_owner
src/modules/open-platform/components/OpenPlatformKnowledgeManagementPanel.tsx,component,knowledge,2521,no,10,10,6,8,0,2,1,1,0,no,,network；react；browser_runtime,src/modules/open-platform/knowledge/index.ts,src/modules/open-platform/domain/knowledge/OpenPlatformKnowledgeManagementPanel.tsx,no,not_plain_ts；not_domain_or_contract；runtime_boundary；cross_module_inbound；large_file；high_import_count
src/modules/open-platform/components/OpenPlatformTenantManagementPanel.tsx,component,tenant_governance,1779,no,9,7,6,7,0,2,1,1,0,no,,network；react,src/modules/open-platform/tenant_governance/index.ts,src/modules/open-platform/domain/tenant_governance/OpenPlatformTenantManagementPanel.tsx,no,not_plain_ts；not_domain_or_contract；runtime_boundary；cross_module_inbound；large_file；high_import_count
src/modules/open-platform/components/PlatformSectionBanner.tsx,component,shared,47,no,2,1,0,1,0,15,0,1,0,no,,react,src/modules/open-platform/shared/index.ts,src/modules/open-platform/domain/shared/PlatformSectionBanner.tsx,no,not_plain_ts；not_domain_or_contract；shared_owner；runtime_boundary；cross_module_inbound；too_many_consumers
