original_path,current_path,governance_category,role,owner,loc,import_count,inbound_consumer_count,test_consumer_count,runtime_boundary_tokens,cross_module_outbound_count,cross_module_inbound_count,reverse_dependency_count,cycle_member,classification_reason,next_action,blocking_phase29
src/modules/open-platform/client/platform-ai-credit-metering-rules-client.ts,src/modules/open-platform/client/platform-ai-credit-metering-rules-client.ts,keep_current,client,ai_runtime,228,0,2,1,,0,0,0,no,role_client,retain_current_location_and_stable_entry,no
src/modules/open-platform/client/platform-ai-usage-credits-client.ts,src/modules/open-platform/client/platform-ai-usage-credits-client.ts,keep_current,client,ai_runtime,303,0,2,1,,0,0,0,no,role_client,retain_current_location_and_stable_entry,no
src/modules/open-platform/client/platform-plan-catalog-client.ts,src/modules/open-platform/client/platform-plan-catalog-client.ts,keep_current,client,commercial_entitlement,236,1,1,0,,0,0,0,no,role_client,retain_current_location_and_stable_entry,no
src/modules/open-platform/client/platform-tenant-management-client.ts,src/modules/open-platform/client/platform-tenant-management-client.ts,protected_boundary,client,tenant_governance,440,6,4,2,,1,2,0,no,cross_module_outbound；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/AiQuotaBoundaryPanel.tsx,src/modules/open-platform/components/AiQuotaBoundaryPanel.tsx,keep_current,component,commercial_entitlement,80,3,1,1,,0,0,0,no,role_component,retain_current_location_and_stable_entry,no
src/modules/open-platform/components/CommercialBoundaryPanel.tsx,src/modules/open-platform/components/CommercialBoundaryPanel.tsx,protected_boundary,component,commercial_entitlement,135,3,2,1,,0,1,0,no,cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/HomepageBrandPanel.tsx,src/modules/open-platform/components/HomepageBrandPanel.tsx,protected_boundary,component,homepage_brand,1970,6,2,1,network；react；browser_runtime,2,1,0,no,runtime_boundary；cross_module_outbound；cross_module_inbound,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/KnowledgeFileCard.tsx,src/modules/open-platform/components/KnowledgeFileCard.tsx,keep_current,component,knowledge,134,2,1,0,,0,0,0,no,role_component,retain_current_location_and_stable_entry,no
src/modules/open-platform/components/KnowledgeMetricCard.tsx,src/modules/open-platform/components/KnowledgeMetricCard.tsx,protected_boundary,component,knowledge,36,2,1,0,react,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
src/modules/open-platform/components/KnowledgeSignalCard.tsx,src/modules/open-platform/components/KnowledgeSignalCard.tsx,protected_boundary,component,knowledge,34,2,1,0,react,0,0,0,no,runtime_boundary,require_boundary_specific_runtime_security_or_dependency_plan,no
