module_name,module_path,typescript_file_count,ts_file_count,tsx_file_count,representative_test_file_count,representative_test_entry_points,runtime_boundary_file_count,runtime_boundary_ratio,domain_or_contract_file_count,domain_or_contract_ratio,stable_entry_file_count,cross_module_outbound_file_count,cross_module_outbound_edge_count,cross_module_outbound_modules,cross_module_inbound_file_count,cross_module_inbound_edge_count,cross_module_inbound_modules,closed_module_coupling_edge_count,mutual_module_dependency_count,mutual_module_dependencies,selection_score,selection_rank,selected,blocking_reasons,next_action
platform-homepage,src/modules/platform-homepage/,2,2,0,1,src/modules/platform-homepage/tests/PlatformHomepageContentContract.test.ts,0,0.0000,1,0.5000,0,0,0,,0,0,,0,0,,102.1203,1,no,,closed_no_candidate
institution-knowledge,src/modules/institution-knowledge/,8,8,0,4,src/modules/institution-knowledge/tests/KnowledgeJobDomain.test.ts|src/modules/institution-knowledge/tests/KnowledgeJobLeaseDomain.test.ts|src/modules/institution-knowledge/tests/KnowledgePublicationDomain.test.ts|src/modules/institution-knowledge/tests/KnowledgeVersioningDomain.test.ts,0,0.0000,8,1.0000,0,0,0,,0,0,,0,0,,96.0406,2,no,,superseded_by_cross_module_realignment
customer-center,src/modules/customer-center/,14,14,0,8,src/modules/customer-center/tests/CustomerCreationProjectCompatibility.test.ts|src/modules/customer-center/tests/CustomerCreationSelection.test.ts|src/modules/customer-center/tests/CustomerListItemBoundary.test.ts|src/modules/customer-center/tests/CustomerListItemProjection.test.ts|src/modules/customer-center/tests/CustomerOverviewProjection.test.ts|src/modules/customer-center/tests/CustomerProjectOverviewCompatibility.test.ts|src/modules/customer-center/tests/CustomerProjectSelection.test.ts|src/modules/customer-center/tests/CustomerQueryParser.test.ts,0,0.0000,6,0.4286,0,3,3,institution-contracts,0,0,,0,0,,93.9377,3,no,,superseded_by_cross_module_realignment
institution-conversations,src/modules/institution-conversations/,24,24,0,15,src/modules/institution-conversations/tests/ConversationActionProjection.test.ts|src/modules/institution-conversations/tests/ConversationActionProjectionBoundary.test.ts|src/modules/institution-conversations/tests/ConversationAssignmentBoundary.test.ts|src/modules/institution-conversations/tests/ConversationAssignmentDomain.test.ts|src/modules/institution-conversations/tests/ConversationCareDispositionBoundary.test.ts|src/modules/institution-conversations/tests/ConversationCareDispositionDomain.test.ts|src/modules/institution-conversations/tests/ConversationDomain.test.ts|src/modules/institution-conversations/tests/ConversationDomainBoundary.test.ts|src/modules/institution-conversations/tests/ConversationIdentityMatchReviewBoundary.test.ts|src/modules/institution-conversations/tests/ConversationIdentityMatchReviewDomain.test.ts|src/modules/institution-conversations/tests/ConversationMessageDomain.test.ts|src/modules/institution-conversations/tests/ConversationMessageResultDomain.test.ts|src/modules/institution-conversations/tests/ConversationRiskDomain.test.ts|src/modules/institution-conversations/tests/ConversationSegmentDomain.test.ts|src/modules/institution-conversations/tests/ConversationSegmentRiskBoundary.test.ts,0,0.0000,18,0.7500,0,2,4,institution-contracts,0,0,,0,0,,93.2492,4,no,,superseded_by_cross_module_realignment
care,src/modules/care/,14,14,0,6,src/modules/care/tests/FollowUpAssignmentDomain.test.ts|src/modules/care/tests/FollowUpAssignmentEligibilityDomain.test.ts|src/modules/care/tests/FollowUpBusinessTimeDomain.test.ts|src/modules/care/tests/FollowUpCommandPreconditionsDomain.test.ts|src/modules/care/tests/FollowUpDueBucketDomain.test.ts|src/modules/care/tests/FollowUpTaskDomain.test.ts,0,0.0000,14,1.0000,0,0,0,,0,0,,0,0,,92.7449,5,no,,superseded_by_cross_module_realignment
institution-analytics,src/modules/institution-analytics/,18,18,0,9,src/modules/institution-analytics/tests/AnalyticsConsumptionFacts.test.ts|src/modules/institution-analytics/tests/AnalyticsDataIntegrity.test.ts|src/modules/institution-analytics/tests/AnalyticsDataIntegrityPartitions.test.ts|src/modules/institution-analytics/tests/AnalyticsPeriodBuckets.test.ts|src/modules/institution-analytics/tests/AnalyticsPeriodResourcePolicy.test.ts|src/modules/institution-analytics/tests/AnalyticsPeriodsAndAggregation.test.ts|src/modules/institution-analytics/tests/AnalyticsReportInputBoundary.test.ts|src/modules/institution-analytics/tests/AnalyticsReportInputProposal.test.ts|src/modules/institution-analytics/tests/AnalyticsStableConsumptionRecord.test.ts,3,0.1667,10,0.5556,0,0,0,,0,0,,0,0,,91.5499,6,no,,superseded_by_cross_module_realignment
institution-system,src/modules/institution-system/,20,20,0,10,src/modules/institution-system/tests/AiUsageMetricsDomain.test.ts|src/modules/institution-system/tests/AiUsageMetricsSnapshotDomain.test.ts|src/modules/institution-system/tests/AiUsageOutcomesDomain.test.ts|src/modules/institution-system/tests/AiUsageServiceKeysDomain.test.ts|src/modules/institution-system/tests/AiUsageTimeWindowDomain.test.ts|src/modules/institution-system/tests/InstitutionAiUsageMetricsReader.test.ts|src/modules/institution-system/tests/InstitutionAiUsageServiceKeyPolicy.test.ts|src/modules/institution-system/tests/InstitutionAiUsageTerminalStatusPolicy.test.ts|src/modules/institution-system/tests/RawDataRetentionChangeDomain.test.ts|src/modules/institution-system/tests/RawDataRetentionPolicyDomain.test.ts,6,0.3000,18,0.9000,0,0,0,,1,1,institution,1,0,,88.1615,7,no,,superseded_by_cross_module_realignment
deployment,src/modules/deployment/,2,2,0,1,src/modules/deployment/tests/DeploymentVersionRoute.test.ts,1,0.5000,0,0.0000,0,0,0,,1,1,__outside_modules__,0,0,,82.7703,8,no,,superseded_by_cross_module_realignment
institution-contracts,src/modules/institution-contracts/,22,22,0,24,src/modules/institution-contracts/v1/tests/CareActionContract.test.ts|src/modules/institution-contracts/v1/tests/ConversationActionContract.test.ts|src/modules/institution-contracts/v1/tests/ConversationActionContractBoundary.test.ts|src/modules/institution-contracts/v1/tests/CustomerContract.test.ts|src/modules/institution-contracts/v1/tests/InstitutionActionContract.test.ts|src/modules/institution-contracts/v1/tests/InstitutionCapabilityContract.test.ts|src/modules/institution-contracts/v1/tests/InstitutionCapabilityRegistryContract.test.ts|src/modules/institution-contracts/v1/tests/InstitutionNavigationContract.test.ts|src/modules/institution-contracts/v1/tests/InstitutionOperatingContextContract.test.ts|src/modules/institution-contracts/v1/tests/InstitutionOperatingContextContractBoundary.test.ts|src/modules/institution-contracts/v1/tests/InstitutionRouteContract.test.ts|src/modules/institution-contracts/v1/tests/InstitutionSourceContract.test.ts|src/modules/institution-workbench/tests/HospitalWorkbenchEntry.test.tsx|src/modules/institution-workbench/tests/WorkbenchActionAggregation.test.ts|src/modules/institution-workbench/tests/WorkbenchActionContractBoundary.test.ts|src/modules/institution-workbench/tests/WorkbenchCapabilityContractBoundary.test.ts|src/modules/institution-workbench/tests/WorkbenchCapabilityProjection.test.ts|src/modules/institution-workbench/tests/WorkbenchLifecycleContractBoundary.test.ts|src/modules/institution-workbench/tests/WorkbenchLifecycleProjection.test.ts|src/modules/institution/tests/InstitutionCapabilityStatusReader.test.ts|src/modules/institution/tests/InstitutionRouteShell.test.tsx|src/modules/security/tests/InstitutionAccessDomain.test.ts|src/modules/security/tests/InstitutionRequestAuthorization.test.ts|src/modules/security/tests/InstitutionSectionGuard.test.ts,0,0.0000,12,0.5455,12,0,0,,37,61,__outside_modules__|auth|customer-center|institution|institution-conversations|institution-workbench|security,10,0,,76.5070,9,no,,superseded_by_cross_module_realignment
institution-workbench,src/modules/institution-workbench/,22,15,7,11,src/modules/institution-workbench/tests/HospitalWorkbenchEntry.test.tsx|src/modules/institution-workbench/tests/InstitutionWorkbenchCareCardAccessibility.test.tsx|src/modules/institution-workbench/tests/InstitutionWorkbenchLifecycleStatus.test.tsx|src/modules/institution-workbench/tests/InstitutionWorkbenchRuntime.test.ts|src/modules/institution-workbench/tests/InstitutionWorkbenchShell.test.tsx|src/modules/institution-workbench/tests/WorkbenchActionAggregation.test.ts|src/modules/institution-workbench/tests/WorkbenchActionContractBoundary.test.ts|src/modules/institution-workbench/tests/WorkbenchCapabilityContractBoundary.test.ts|src/modules/institution-workbench/tests/WorkbenchCapabilityProjection.test.ts|src/modules/institution-workbench/tests/WorkbenchLifecycleContractBoundary.test.ts|src/modules/institution-workbench/tests/WorkbenchLifecycleProjection.test.ts,6,0.2727,9,0.4091,4,16,45,auth|institution|institution-contracts|security,1,1,__outside_modules__,3,0,,73.7797,10,no,,superseded_by_cross_module_realignment
knowledge-base,src/modules/knowledge-base/,24,24,0,13,src/modules/knowledge-base/tests/V1KnowledgeBaseAuditReadonly.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseDemoReadonlyApiContract.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseDemoReadonlyApiRoute.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseDemoReadonlyFacade.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseDemoSourceContract.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseEmbeddingVectorIndexRuntime.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseGovernanceReadonly.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseMvpE2EAcceptance.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseRuntimeFoundation.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseSearchRuntime.test.ts|src/modules/knowledge-base/tests/V1KnowledgeBaseUploadParseChunkRuntime.test.ts|src/modules/open-platform/tests/PlatformKnowledgeDocumentParsingService.test.ts|src/modules/open-platform/tests/PlatformKnowledgeProductionGovernancePolicy.test.ts,15,0.6250,9,0.3750,6,2,4,workspace,17,18,__outside_modules__|institution|open-platform|workspace,9,1,workspace,66.2492,11,no,,superseded_by_cross_module_realignment
marketing,src/modules/marketing/,4,1,3,8,src/modules/auth/tests/LoginShell.test.tsx|src/modules/marketing/tests/MarketingHome.test.tsx|src/modules/marketing/tests/MarketingPage.test.tsx|src/modules/open-platform/tests/HomepageBrandApiRoute.test.ts|src/modules/open-platform/tests/HomepageBrandConfig.test.ts|src/modules/open-platform/tests/HomepageBrandLocalRepository.test.ts|src/modules/open-platform/tests/HomepageBrandPanel.test.tsx|src/modules/open-platform/tests/HomepageBrandService.test.ts,3,0.7500,1,0.2500,0,1,2,open-platform,16,19,__outside_modules__|auth|open-platform,13,1,open-platform,64.0246,12,no,,superseded_by_cross_module_realignment
auth,src/modules/auth/,20,15,5,20,src/modules/auth/tests/AuthAccountDomain.test.ts|src/modules/auth/tests/AuthAccountRepository.test.ts|src/modules/auth/tests/AuthAccountService.test.ts|src/modules/auth/tests/AuthSessionDomain.test.ts|src/modules/auth/tests/DemoAuthRoutes.test.ts|src/modules/auth/tests/FormalAuthRoutes.test.ts|src/modules/auth/tests/FormalServerSessionProvenanceOwner.test.ts|src/modules/auth/tests/LoginShell.test.tsx|src/modules/auth/tests/PasswordHash.test.ts|src/modules/institution-workbench/tests/HospitalWorkbenchEntry.test.tsx|src/modules/institution/tests/DashboardStatsLegacyApiRoute.test.ts|src/modules/institution/tests/InstitutionServerRuntime.test.ts|src/modules/institution/tests/WeComCustomerMappingReadWriteBridge.test.ts|src/modules/institution/tests/WeComCustomerMappingReviewActionsApiRoute.test.ts|src/modules/security/tests/AccessContext.test.ts|src/modules/security/tests/InstitutionMembershipProvider.test.ts|src/modules/security/tests/InstitutionRequestAuthorization.test.ts|src/modules/security/tests/InstitutionScopeGuard.test.ts|src/modules/security/tests/InstitutionSectionGuard.test.ts|src/server/db/tests/Schema.test.ts,13,0.6500,4,0.2000,0,7,16,audit|institution-contracts|marketing|security,27,50,__outside_modules__|institution|institution-workbench|open-platform|security|workspace,14,1,security,35.1615,13,no,,superseded_by_cross_module_realignment
