path,name,extension,size_bytes,size_human,modified_at,depth,top_level,category,git_state,is_symlink
.DS_Store,.DS_Store,,10244,10.00 KB,2026-07-23 15:13:41,1,(root),other,other,False
.claude/.DS_Store,.DS_Store,,6148,6.00 KB,2026-06-29 03:52:06,2,.claude,other,other,False
.claude/settings.local.json,settings.local.json,.json,3991,3.90 KB,2026-07-15 00:13:34,2,.claude,other,other,False
.claude/skills/zmtg-pr-gatekeeper/SKILL.md,SKILL.md,.md,1146,1.12 KB,2026-07-15 11:39:18,4,.claude,other,tracked,False
.claude/skills/zmtg-secret-migration-guard/SKILL.md,SKILL.md,.md,1280,1.25 KB,2026-07-15 11:39:18,4,.claude,other,tracked,False
.claude/skills/zmtg-ui-test-reviewer/SKILL.md,SKILL.md,.md,1249,1.22 KB,2026-07-15 11:39:18,4,.claude,other,tracked,False
.env.example,.env.example,.example,351,351.00 B,2026-05-29 14:56:27,1,(root),other,tracked,False
.env.local,.env.local,.local,694,694.00 B,2026-07-16 21:05:19,1,(root),other,other,False
.gitignore,.gitignore,,264,264.00 B,2026-06-22 01:12:36,1,(root),other,tracked,False
.gitnexus/.DS_Store,.DS_Store,,6148,6.00 KB,2026-06-25 11:47:42,2,.gitnexus,other,other,False
.gitnexus/.gitignore,.gitignore,,2,2.00 B,2026-06-25 11:47:42,2,.gitnexus,other,other,False
.gitnexus/branches/feat_v08-05a-production-channel-readiness-guard-01-27a36bfd/lbug,lbug,,141340672,134.79 MB,2026-07-11 22:49:52,4,.gitnexus,other,other,False
.gitnexus/branches/feat_v08-05a-production-channel-readiness-guard-01-27a36bfd/meta.json,meta.json,.json,153902,150.29 KB,2026-07-11 22:49:52,4,.gitnexus,other,other,False
.gitnexus/branches/feat_v08-05b-b2-mock-provider-contract-01-caeb6fa6/lbug,lbug,,143392768,136.75 MB,2026-07-12 15:42:30,4,.gitnexus,other,other,False
.gitnexus/branches/feat_v08-05b-b2-mock-provider-contract-01-caeb6fa6/meta.json,meta.json,.json,156356,152.69 KB,2026-07-12 15:42:30,4,.gitnexus,other,other,False
.gitnexus/branches/feat_v08-05c-e1-wecom-customer-mapping-mock-domain-20260713-1f2f7b61/lbug,lbug,,146313216,139.54 MB,2026-07-14 02:23:28,4,.gitnexus,other,other,False
.gitnexus/branches/feat_v08-05c-e1-wecom-customer-mapping-mock-domain-20260713-1f2f7b61/meta.json,meta.json,.json,160362,156.60 KB,2026-07-14 02:23:28,4,.gitnexus,other,other,False
.gitnexus/branches/main-0d6e4079/lbug,lbug,,143409152,136.77 MB,2026-07-12 16:02:37,4,.gitnexus,other,other,False
.gitnexus/branches/main-0d6e4079/meta.json,meta.json,.json,156319,152.66 KB,2026-07-12 16:02:37,4,.gitnexus,other,other,False
.gitnexus/lbug,lbug,,109744128,104.66 MB,2026-06-25 11:47:42,2,.gitnexus,other,other,False
.gitnexus/meta.json,meta.json,.json,106012,103.53 KB,2026-06-25 11:47:42,2,.gitnexus,other,other,False
.gitnexus/parse-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736.json,.json,22974627,21.91 MB,2026-07-14 02:23:28,3,.gitnexus,other,other,False
.gitnexus/parse-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c.json,79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c.json,.json,22065036,21.04 MB,2026-07-14 02:23:28,3,.gitnexus,other,other,False
.gitnexus/parse-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d.json,94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d.json,.json,13512855,12.89 MB,2026-07-14 02:23:28,3,.gitnexus,other,other,False
.gitnexus/parse-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f.json,fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f.json,.json,21550512,20.55 MB,2026-07-14 02:23:28,3,.gitnexus,other,other,False
.gitnexus/parse-cache/index.json,index.json,.json,298,298.00 B,2026-07-14 02:23:28,3,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-0.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-0.json,.json,5349103,5.10 MB,2026-07-13 23:17:04,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-1.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-1.json,.json,3557668,3.39 MB,2026-07-13 23:17:08,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-2.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w1-2.json,.json,4480778,4.27 MB,2026-07-13 23:17:13,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-0.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-0.json,.json,3176198,3.03 MB,2026-07-13 23:17:03,4,.gitnexus,other,other,False
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-1.json,60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w2-1.json,.json,5256650,5.01 MB,2026-07-13 23:17:08,4,.gitnexus,other,other,False
