directory,size_bytes,size_human
.,1027711971,980.10 MB
.gitnexus,990453953,944.57 MB
.gitnexus/branches,575082747,548.44 MB
.gitnexus/parsedfile-cache,225396004,214.95 MB
.gitnexus/branches/feat_v08-05c-e1-wecom-customer-mapping-mock-domain-20260713-1f2f7b61,146473578,139.69 MB
.gitnexus/branches/main-0d6e4079,143565471,136.91 MB
.gitnexus/branches/feat_v08-05b-b2-mock-provider-contract-01-caeb6fa6,143549124,136.90 MB
.gitnexus/branches/feat_v08-05a-production-channel-readiness-guard-01-27a36bfd,141494574,134.94 MB
.gitnexus/parse-cache,80103328,76.39 MB
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736,64603430,61.61 MB
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c,62151027,59.27 MB
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f,60597880,57.79 MB
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d,38043369,36.28 MB
docs,16896365,16.11 MB
src,11970414,11.42 MB
src/modules,11361401,10.84 MB
docs/design,10761576,10.26 MB
docs/design/tenant-account-plan-entitlement,10231230,9.76 MB
docs/design/tenant-account-plan-entitlement/images,10216204,9.74 MB
src/modules/institution,4889240,4.66 MB
public,4742614,4.52 MB
public/homepage,3236328,3.09 MB
docs/superpowers,3181554,3.03 MB
src/modules/open-platform,2555052,2.44 MB
src/modules/institution/tests,2413680,2.30 MB
docs/product,2082085,1.99 MB
docs/superpowers/plans,1870491,1.78 MB
drizzle,1671959,1.59 MB
drizzle/meta,1544017,1.47 MB
public/brand,1454984,1.39 MB
docs/superpowers/specs,1284980,1.23 MB
src/modules/open-platform/tests,1144652,1.09 MB
var,1100852,1.05 MB
var/homepage-brand-assets/homepage-brand/share_image,999314,975.89 KB
var/homepage-brand-assets/homepage-brand,999314,975.89 KB
var/homepage-brand-assets,999314,975.89 KB
docs/product/plans,933327,911.45 KB
src/modules/institution/server,891025,870.14 KB
src/modules/institution/domain,781484,763.17 KB
src/modules/institution/components,690147,673.97 KB
src/modules/open-platform/components,636927,622.00 KB
src/modules/workspace,616119,601.68 KB
src/modules/open-platform/server,577385,563.85 KB
src/modules/institution-conversations,572646,559.22 KB
src/modules/security,538549,525.93 KB
docs/design/workspace-ui-redesign,509913,497.96 KB
docs/devlog,491675,480.15 KB
src/modules/workspace/tests,391233,382.06 KB
src/server,363566,355.04 KB
src/server/db,363399,354.88 KB
src/modules/security/tests,334491,326.65 KB
src/modules/knowledge-base,324454,316.85 KB
src/modules/institution-conversations/tests,286361,279.65 KB
src/modules/institution-conversations/domain,286285,279.58 KB
src/modules/institution-workbench,281746,275.14 KB
src/modules/auth,267029,260.77 KB
src/modules/institution-knowledge,251789,245.89 KB
docs/product/test-plans,251096,245.21 KB
src/modules/institution-analytics,246136,240.37 KB
src/app,235333,229.82 KB
src/app/api,223740,218.50 KB
docs/product/contracts,194812,190.25 KB
docs/verification,181458,177.21 KB
src/modules/security/server,179274,175.07 KB
src/modules/institution-workbench/tests,177103,172.95 KB
src/server/db/tests,170427,166.43 KB
src/modules/auth/tests,164830,160.97 KB
src/modules/institution-system,159849,156.10 KB
src/modules/knowledge-base/tests,156608,152.94 KB
src/modules/institution-knowledge/tests,145891,142.47 KB
src/modules/care,133095,129.98 KB
src/modules/institution-contracts/v1,131408,128.33 KB
src/modules/institution-contracts,131408,128.33 KB
src/modules/institution-analytics/domain,126566,123.60 KB
src/modules/customer-center,124930,122.00 KB
src/app/api/v1,122455,119.58 KB
src/modules/audit,120694,117.87 KB
src/modules/institution-analytics/tests,119570,116.77 KB
src/app/api/v1/open-platform,118697,115.92 KB
src/modules/workspace/components,116449,113.72 KB
src/modules/marketing,114592,111.91 KB
src/modules/workspace/domain,108437,105.90 KB
src/modules/knowledge-base/domain,106287,103.80 KB
src/modules/institution-knowledge/domain,105898,103.42 KB
docs/roadmap,89920,87.81 KB
src/modules/institution-system/tests,86372,84.35 KB
src/modules/institution-contracts/v1/tests,80827,78.93 KB
src/modules/open-platform/domain,80055,78.18 KB
src/modules/marketing/components,79065,77.21 KB
src/modules/audit/tests,78159,76.33 KB
src/modules/care/tests,77560,75.74 KB
src/modules/open-platform/mock,76445,74.65 KB
src/modules/customer-center/tests,72696,70.99 KB
