path,size_bytes,size_human,git_state,category
.gitnexus/branches/feat_v08-05c-e1-wecom-customer-mapping-mock-domain-20260713-1f2f7b61/lbug,146313216,139.54 MB,other,other
.gitnexus/branches/main-0d6e4079/lbug,143409152,136.77 MB,other,other
.gitnexus/branches/feat_v08-05b-b2-mock-provider-contract-01-caeb6fa6/lbug,143392768,136.75 MB,other,other
.gitnexus/branches/feat_v08-05a-production-channel-readiness-guard-01-27a36bfd/lbug,141340672,134.79 MB,other,other
.gitnexus/lbug,109744128,104.66 MB,other,other
.gitnexus/parse-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736.json,22974627,21.91 MB,other,other
.gitnexus/parse-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c.json,22065036,21.04 MB,other,other
.gitnexus/parse-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f.json,21550512,20.55 MB,other,other
.gitnexus/parse-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d.json,13512855,12.89 MB,other,other
.gitnexus/parsedfile-cache/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f/fb06342ff247f56d03853655fc9fccc6d844f8a43c45f7d4ec89da1ea0a2e76f-w5-1.json,6424899,6.13 MB,other,other
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w5-1.json,6131705,5.85 MB,other,other
.gitnexus/parsedfile-cache/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d/94ec18d81284b447badc4a7ee77b455d96052a5693813ac5bfd2c522baa70e2d-w3-1.json,6081464,5.80 MB,other,other
.gitnexus/parsedfile-cache/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c/79e77c0c20d3b960fd3449f79dd9c1d3e473f50abc1e5df0b22ea5040888c14c-w3-1.json,5946531,5.67 MB,other,other
.gitnexus/parsedfile-cache/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736/60e3484ab64419e6b4647941831e6abf93b9497a57616538ac700f89f3b47736-w5-1.json,5943816,5.67 MB,other,other
